127.0.0.1 - - [01/Sep/2025:11:55:08 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [01/Sep/2025:11:56:23 +0530] "POST /WorkNest/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2025:11:56:23 +0530] "GET /WorkNest/user/dashboard HTTP/1.1" 200 7219
0:0:0:0:0:0:0:1 - - [01/Sep/2025:11:56:26 +0530] "GET /WorkNest/user/tasks/comments?taskId=3 HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [01/Sep/2025:11:56:30 +0530] "GET /WorkNest/user/tasks HTTP/1.1" 200 3763
0:0:0:0:0:0:0:1 - - [01/Sep/2025:11:56:35 +0530] "GET /WorkNest/user/dashboard HTTP/1.1" 200 7219
0:0:0:0:0:0:0:1 - - [01/Sep/2025:11:56:38 +0530] "GET /WorkNest/user/comments HTTP/1.1" 200 2666
0:0:0:0:0:0:0:1 - - [01/Sep/2025:11:56:40 +0530] "GET /WorkNest/user/dashboard HTTP/1.1" 200 7219
0:0:0:0:0:0:0:1 - - [01/Sep/2025:11:56:49 +0530] "GET /WorkNest/admin/tasks HTTP/1.1" 200 4211
0:0:0:0:0:0:0:1 - - [01/Sep/2025:11:56:55 +0530] "GET /WorkNest/admin/dashboard HTTP/1.1" 200 4979
0:0:0:0:0:0:0:1 - - [01/Sep/2025:11:57:03 +0530] "GET /WorkNest/admin/tasks HTTP/1.1" 200 4211
0:0:0:0:0:0:0:1 - - [01/Sep/2025:11:57:06 +0530] "GET /WorkNest/admin/dashboard HTTP/1.1" 200 4979
0:0:0:0:0:0:0:1 - - [01/Sep/2025:11:57:12 +0530] "GET /WorkNest/admin/tasks HTTP/1.1" 200 4211
0:0:0:0:0:0:0:1 - - [01/Sep/2025:11:58:55 +0530] "POST /WorkNest/admin/tasks/add HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2025:11:58:55 +0530] "GET /WorkNest/admin/tasks HTTP/1.1" 200 4684
0:0:0:0:0:0:0:1 - - [01/Sep/2025:11:59:05 +0530] "GET /WorkNest/admin/dashboard HTTP/1.1" 200 5221
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:01:15 +0530] "GET /WorkNest/admin/tasks HTTP/1.1" 200 4684
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:01:25 +0530] "GET /WorkNest/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:01:25 +0530] "GET /WorkNest/login HTTP/1.1" 200 1831
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:01:32 +0530] "POST /WorkNest/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:01:32 +0530] "GET /WorkNest/user/dashboard HTTP/1.1" 200 9210
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:01:40 +0530] "GET /WorkNest/admin/tasks/updateStatus?taskId=4&status=COMPLETED HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:01:40 +0530] "GET /WorkNest/admin/tasks HTTP/1.1" 200 4686
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:01:46 +0530] "GET /WorkNest/admin/tasks/updateStatus?taskId=4&status=COMPLETED HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:01:46 +0530] "GET /WorkNest/admin/tasks HTTP/1.1" 200 4686
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:01:48 +0530] "GET /WorkNest/admin/dashboard HTTP/1.1" 200 4979
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:01:51 +0530] "GET /WorkNest/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:01:51 +0530] "GET /WorkNest/login HTTP/1.1" 200 1831
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:01:56 +0530] "POST /WorkNest/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:01:56 +0530] "GET /WorkNest/user/dashboard HTTP/1.1" 200 9214
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:02:00 +0530] "GET /WorkNest/user/tasks/updateStatus?taskId=4&status=PENDING HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:02:00 +0530] "GET /WorkNest/user/tasks HTTP/1.1" 200 5227
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:02:03 +0530] "GET /WorkNest/user/dashboard HTTP/1.1" 200 9210
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:02:09 +0530] "GET /WorkNest/admin/dashboard HTTP/1.1" 200 5221
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:02:17 +0530] "GET /WorkNest/user/tasks/comments?taskId=4 HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:02:24 +0530] "GET /WorkNest/user/tasks/updateStatus?taskId=4&status=COMPLETED HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:02:24 +0530] "GET /WorkNest/user/tasks HTTP/1.1" 200 5231
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:02:28 +0530] "GET /WorkNest/user/tasks/comments?taskId=4 HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:02:31 +0530] "GET /WorkNest/user/tasks HTTP/1.1" 200 5231
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:02:32 +0530] "GET /WorkNest/user/dashboard HTTP/1.1" 200 9214
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:02:34 +0530] "GET /WorkNest/user/tasks/comments?taskId=3 HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:02:49 +0530] "POST /WorkNest/user/tasks/comments/add HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:02:49 +0530] "GET /WorkNest/user/tasks/comments?taskId=3 HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:02:55 +0530] "GET /WorkNest/admin/comments HTTP/1.1" 200 2988
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:03:15 +0530] "GET /WorkNest/user/tasks HTTP/1.1" 200 5231
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:03:18 +0530] "GET /WorkNest/user/dashboard HTTP/1.1" 200 9214
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:03:25 +0530] "GET /WorkNest/login.jsp HTTP/1.1" 200 1831
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:03:35 +0530] "POST /WorkNest/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:03:35 +0530] "GET /WorkNest/user/dashboard HTTP/1.1" 200 7221
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:03:37 +0530] "GET /WorkNest/user/tasks/comments?taskId=2 HTTP/1.1" 200 2521
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:03:42 +0530] "GET /WorkNest/user/tasks HTTP/1.1" 200 3763
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:03:44 +0530] "GET /WorkNest/user/dashboard HTTP/1.1" 200 7221
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:03:45 +0530] "GET /WorkNest/user/comments HTTP/1.1" 200 2987
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:03:51 +0530] "GET /WorkNest/user/dashboard HTTP/1.1" 200 7221
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:03:56 +0530] "GET /WorkNest/admin/dashboard HTTP/1.1" 200 4979
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:03:59 +0530] "GET /WorkNest/admin/tasks HTTP/1.1" 200 4211
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:04:03 +0530] "GET /WorkNest/admin/dashboard HTTP/1.1" 200 4979
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:04:05 +0530] "GET /WorkNest/admin/tasks HTTP/1.1" 200 4211
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:04:10 +0530] "GET /WorkNest/admin/dashboard HTTP/1.1" 200 4979
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:04:23 +0530] "GET /WorkNest/admin/comments HTTP/1.1" 200 2988
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:04:34 +0530] "GET /WorkNest/user/comments HTTP/1.1" 200 2987
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:04:37 +0530] "GET /WorkNest/user/dashboard HTTP/1.1" 200 7221
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:04:39 +0530] "GET /WorkNest/user/tasks/comments?taskId=2 HTTP/1.1" 200 2521
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:04:42 +0530] "GET /WorkNest/user/tasks HTTP/1.1" 200 3763
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:04:45 +0530] "GET /WorkNest/admin/dashboard HTTP/1.1" 200 4979
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:05:11 +0530] "GET /WorkNest/admin/comments HTTP/1.1" 200 2988
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:05:14 +0530] "GET /WorkNest/admin/tasks HTTP/1.1" 200 4211
0:0:0:0:0:0:0:1 - - [01/Sep/2025:12:05:23 +0530] "GET /WorkNest/admin/dashboard HTTP/1.1" 200 4979
